PLACE_NM,PLACE_SE_NM,ACC_CQT_SUM
강화 파출소,갯벌,10
안면읍,해안가,10
호미곶 파출소,해안가,10
이원면,갯바위,10
대천 파출소,해안가,10
구룡포 파출소,테트라포드,10
강원도 속초,테트라포드,10
변산 파출소,항포구,10
장승포 파출소,갯바위,10
대부 파출소,해안가,10
묵호 파출소,해안가,10
영도 파출소,갯바위,10
인항 파출소,기타,10
학암포 파출소,해안가,10
울산항 파출소,해양,10
마산 파출소,해안가,10
울산광역시,갯바위,10
구좌읍,해수욕장,10
충청남도 보령,해안가,10
통영 파출소,해양,10
당진 파출소,해안가,10
경기도 평택,갯벌,11
한림 파출소,해안가,11
경기도 평택,항포구,11
노화 파출소,항포구,11
경기도 평택,해안가,11
원북면,해수욕장,11
경상북도 포항,해안가,11
한림 파출소,갯바위,11
충청남도 태안,갯벌,11
대부 파출소,무인도서,11
감천 파출소,항포구,11
무의동,갯벌,11
완도읍,항포구,11
조천읍,해안가,11
석문면,해안가,11
추자면,갯바위,11
상주면,해수욕장,11
학암포 파출소,해수욕장,11
강화 파출소,항포구,11
충청남도 보령,갯바위,11
마검포 파출소,해양,11
을왕동,갯바위,11
다대 파출소,해안가,11
신항만 파출소,해안가,11
부산광역시,해양,11
전라남도 완도,항포구,11
부산광역시,갯바위,11
추자 파출소,갯바위,11
무의동,무인도서,11
방어진 파출소,해안가,11
남해 파출소,해수욕장,12
주문진 파출소,해양,12
감포 파출소,해안가,12
제주도 서귀포,항포구,12
대정읍,갯바위,12
한림 파출소,해수욕장,12
소원면,해안가,12
한림 파출소,해양,12
진해 파출소,해안가,12
마검포 파출소,항포구,12
대산 파출소,갯바위,12
학암포 파출소,갯벌,12
일운면,해수욕장,12
광안리 파출소,기타,12
영도 파출소,해안가,12
성산 파출소,항포구,12
녹동 파출소,항포구,12
기장 파출소,테트라포드,12
포항 파출소,해안가,13
마량 파출소,항포구,13
기장 파출소,해안가,13
충청남도 보령,항포구,13
장승포 파출소,해수욕장,13
충청남도 태안,항포구,13
대천 파출소,갯벌,13
경상남도 통영,갯바위,13
화순 파출소,갯바위,14
제주도 서귀포,해안가,14
충청남도 태안,해안가,14
마검포 파출소,갯바위,14
대천 파출소,갯바위,14
전라남도 여수,해안가,14
하늘바다 파출소,항포구,14
경상남도 창원,항포구,14
한림 파출소,항포구,14
영흥면,갯바위,15
고남면,해안가,15
전라남도 여수,갯바위,15
남항 파출소,기타,15
안면읍,해수욕장,16
봉산 파출소,해양,16
남항 파출소,해안가,16
제주도 서귀포,해양,16
서산 파출소,해안가,16
인천광역시,항포구,16
완도 파출소,항포구,16
을왕동,해안가,16
강원도 동해,테트라포드,16
구좌읍,해안가,16
송정 파출소,해안가,16
안산 파출소,해안가,16
울산광역시,항포구,16
하늘바다 파출소,해양,17
성산 파출소,해안가,17
영흥면,해안가,17
을왕동,해수욕장,17
전라남도 목포,항포구,18
속초 파출소,해안가,18
제주 파출소,갯바위,18
서귀포 파출소,항포구,18
북항 파출소,해안가,19
제주도 제주,갯바위,19
비인면,갯벌,19
변산 파출소,갯바위,19
마산 파출소,항포구,19
인항 파출소,해안가,19
하늘바다 파출소,무인도서,19
서귀포 파출소,갯바위,19
근흥면,갯바위,19
강원도 동해,해안가,19
신진 파출소,갯바위,19
대천 파출소,해수욕장,19
충청남도 보령,갯벌,19
전라남도 목포,갯벌,20
마검포 파출소,해수욕장,20
남항 파출소,해양,20
변산면,갯바위,20
제주도 서귀포,갯바위,21
대산읍,갯바위,21
영흥면,갯벌,21
사천 파출소,항포구,21
강원도 속초,해안가,21
서귀포 파출소,해안가,21
장승포 파출소,항포구,22
영일만 파출소,해안가,22
영흥 파출소,갯바위,22
강원도 속초,해양,22
소원면,해수욕장,22
영흥 파출소,해안가,22
서산 파출소,항포구,22
모항 파출소,해수욕장,22
강릉 파출소,해안가,23
경상남도 통영,항포구,23
홍원 파출소,갯벌,23
전라남도 목포,해안가,24
제주 파출소,방파제,24
제주 파출소,해수욕장,24
봉산 파출소,해안가,24
영흥 파출소,갯벌,24
제주도 제주,항포구,24
경상남도 통영,해안가,24
제주 파출소,항포구,25
방어진 파출소,항포구,25
부산광역시,해안가,25
옥도면,갯바위,26
마검포 파출소,갯벌,26
변산면,해안가,26
변산 파출소,해안가,26
제주도 제주,해안가,27
인항 파출소,항포구,27
통영 파출소,항포구,27
전라남도 여수,항포구,27
제주도 제주,해양,27
새만금 파출소,갯바위,27
모항 파출소,갯바위,27
광안리 파출소,해안가,28
부산광역시,항포구,29
원북면,갯바위,29
영흥 파출소,무인도서,31
북항 파출소,항포구,31
마검포 파출소,해안가,32
영흥면,무인도서,33
소원면,갯바위,35
통영 파출소,해안가,35
인천광역시,갯바위,36
봉산 파출소,항포구,38
하늘바다 파출소,갯벌,38
제주 파출소,해안가,39
남항 파출소,항포구,41
하늘바다 파출소,해수욕장,44
하늘바다 파출소,갯바위,50
인천광역시,갯벌,54
인천광역시,해안가,58
충청남도 태안,갯바위,61
학암포 파출소,갯바위,62
하늘바다 파출소,해안가,74
